The calculation of time series is done!
Total route number:  24
Sparsity of adj:  0.041666666666666664
The weighted matrix of temporal graph is generated!
The shape of localized adjacency matrix: (96, 96)
begin training
| end of epoch  80 | time: 10.84s | train_loss 244.3020 | valid mse 14.9605
| end of epoch  81 | time: 11.78s | train_loss 233.9492 | valid mse 17.4888
| end of epoch  82 | time: 10.85s | train_loss 254.3660 | valid mse 15.0174
| end of epoch  83 | time: 12.05s | train_loss 254.2536 | valid mse 14.9893
| end of epoch  84 | time: 11.67s | train_loss 198.6880 | valid mse 13.8676
| end of epoch  85 | time: 11.56s | train_loss 162.0739 | valid mse 14.8214
| end of epoch  86 | time: 10.77s | train_loss 167.8418 | valid mse 15.8549
| end of epoch  87 | time: 10.24s | train_loss 165.9608 | valid mse 15.2956
| end of epoch  88 | time: 10.53s | train_loss 161.5998 | valid mse 11.8444
| end of epoch  89 | time: 10.44s | train_loss 210.6059 | valid mse 14.1303
| end of epoch  90 | time: 10.22s | train_loss 204.6500 | valid mse 13.5426
| end of epoch  91 | time: 10.62s | train_loss 176.0537 | valid mse 10.7753
| end of epoch  92 | time: 11.52s | train_loss 153.7953 | valid mse 12.6973
| end of epoch  93 | time: 11.51s | train_loss 159.9818 | valid mse 51.6560
| end of epoch  94 | time: 11.56s | train_loss 194.9966 | valid mse 116.5950
| end of epoch  95 | time: 10.95s | train_loss 244.9717 | valid mse 67.5441
| end of epoch  96 | time: 10.83s | train_loss 258.0350 | valid mse 19.8625
| end of epoch  97 | time: 11.08s | train_loss 182.9452 | valid mse 23.6420
| end of epoch  98 | time: 10.97s | train_loss 181.7630 | valid mse 12.7144
| end of epoch  99 | time: 10.98s | train_loss 152.4221 | valid mse 14.1528
| end of epoch 100 | time: 10.97s | train_loss 156.2640 | valid mse 10.2499
| end of epoch 101 | time: 10.72s | train_loss 151.3642 | valid mse 11.5631
| end of epoch 102 | time: 10.46s | train_loss 141.8944 | valid mse 13.9899
| end of epoch 103 | time: 11.96s | train_loss 158.7928 | valid mse 14.6044
| end of epoch 104 | time: 11.86s | train_loss 133.2897 | valid mse 12.7234
| end of epoch 105 | time: 11.23s | train_loss 132.4918 | valid mse 10.0362
| end of epoch 106 | time: 10.16s | train_loss 146.3851 | valid mse 9.5876
| end of epoch 107 | time:  9.96s | train_loss 143.4849 | valid mse 13.8163
| end of epoch 108 | time: 10.52s | train_loss 167.0346 | valid mse 27.7615
| end of epoch 109 | time: 11.02s | train_loss 163.2575 | valid mse 12.0471
| end of epoch 110 | time: 10.80s | train_loss 150.2165 | valid mse 22.9275
| end of epoch 111 | time: 10.53s | train_loss 177.8857 | valid mse 14.8718
| end of epoch 112 | time: 10.55s | train_loss 169.7012 | valid mse 11.5040
| end of epoch 113 | time: 10.65s | train_loss 148.3996 | valid mse 20.9530
| end of epoch 114 | time: 11.18s | train_loss 125.6613 | valid mse 14.6780
| end of epoch 115 | time: 11.18s | train_loss 161.2503 | valid mse 40.4702
| end of epoch 116 | time: 11.45s | train_loss 208.5965 | valid mse 18.7458
| end of epoch 117 | time: 10.89s | train_loss 181.9122 | valid mse 17.4652
| end of epoch 118 | time: 10.50s | train_loss 151.0881 | valid mse 12.7226
